instruction,response,label
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. ( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has developed an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The event can also be viewed as a live webcast at www.cargotec.com .,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Vallourec S.A. Just Released Its Third-Quarter Earnings: Here's What Analysts Think,neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. With Tiffany, LVMH grows in jewelry. And Tiffany gets another chance to shine https://t.co/BBjaTsXNfC",neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Apple Inc said on Thursday it will buy its first industrial-size batch of carbon-free aluminum to use in its low-cost iPhone SE, as it steps up efforts to reduce carbon footprint from the metal it uses heavily in product casings.",moderately positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. @SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Have a few credit cards and interested in opening another? Here's how many cards you should have. https://t.co/wlwUPY6Y6U,neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. An analyst pushes the bull case for both companies, but investors react in different ways to his evaluation.",neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",negative,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. These bargain-bin tech stocks are tied to top-quality businesses.,moderately positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The smartphone giant missed a trick this time, but it could eventually win big from this emerging niche.",moderately negative,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Molson Coors takes stake in beverage incubator,neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Alphabet Inc (NASDAQ: GOOG) (NASDAQ: GOOGL) was sliding an additional 1% at one point to a new 52-week low Wednesday after a big bearish day on Tuesday saw the stock fall 5.32%.,moderately negative,
