instruction,response,label
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Standard Life share price: Insurer buys advice firm Pearson Jones,positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Google missed third-quarter earnings estimates on Oct. 25. The shares reacted promptly and the stock has fallen below $100 again - which makes value investors sit up and take notice. In this article, I will dissect Google's cash flow statement, taking into account working capital movements, acquisitions, and most importantly, stock-based compensation and share buybacks.",mildly negative,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Atria Group is a leading Scandinavian meat products group .,positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The airline 's share price closed down slightly at (  x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .,negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Most of the dividend will go to the Grimaldi family .,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Netflix has made it through rough times before, but this time may be different.",mildly negative,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $DGI technical alerts: Gilligan's Island Buy Setup, Stochastic Buy Signal, Lizard Bullish, Hammer Candlestick, Wid... http://stks.co/c29Nu",positive,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. An analyst from BMO Capital Markets downgrades shares of Adobe on concerns for the future of the company's Creative Cloud business.,moderately negative,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Another bridge has collapsed in Italy https://t.co/5sSKGFUPIu,neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $AAPL double bottom could be in, keep in mind",positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. #SpecialOffer 33% OFF live streaming #market #analysis of #earnings #economic #news https://t.co/8b7VdvjsxW #stocks… https://t.co/uBvoEDB0I9,neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",negative,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. ` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Can the gains continue when the S&P 500 returned 33% in 2019 and 256% for the decade? https://t.co/T5JK9oUdp4,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Is Sampo Oyj's (HEL:SAMPO) 10% ROE Better Than Average?,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Ocular Therapeutix up 11% premarket on encouraging OTX-TIC data,positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .,positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Comey Admits Being ‘Overconfident’ in Approving Trump Probe,neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. I present my top 10 High Yield dividend stocks that are poised to offer strong future returns. The annualized rate of return for this watchlist is 39.18% over the past 14 months.,strong positive,
