instruction,response,label
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Nvidia is on the path to becoming a trillion-dollar company.,strong positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Recession, what recession? Apple and Amazon.com reported results after the latest Federal Reserve decision, but their results fit with Chair Jerome Powell's declaration that too many areas of the U.S. economy were performing too well for recession to have begun—a day before Commerce Department data suggested that, by some measures, it had.",mildly positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $RIMM $spx $nya $compq $djia all going down,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Remember... $DIS $AMZN $TSLA 20k by end of week and 25k by end of month. FREE TRIAL OPEN TODAY AND TOMORROW HIT LIN… https://t.co/VCNjBJ6Xm9,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Results are expected late in 2006 .,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Uber Technologies : Safety Report Details Sexual Assaults in U.S. Over Two Years -- Update... #UberTechnologies… https://t.co/ysgIsoXwoK,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $NDAQ - Nasdaq names new risk chief https://t.co/CO8OMv5tnt,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The orders are part of a long-term development plan of Latvijas Finieris .,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Previously , the company anticipated its operating profit to improve over the same period .",positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. .,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Lowe's +5% on raising adjusted operating margin and earnings outlook for FY2019,positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. People's United (PBCT) delivered earnings and revenue surprises of 16.13% and 0.74%, respectively, for the quarter ended December 2021. Do the numbers hold clues to what lies ahead for the stock?",moderately positive,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Costco may be a “no-brainer” in the event of a recession. Home Depot has long-term tailwinds related to the housing market.,moderately positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. NYSE direct listings proposal rejected by SEC https://t.co/iZofLwXuQX,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Greene King's third quarter sales boosted by festive season,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Don't let your family eat themselves sick this Thanksgiving. https://t.co/Er4hoiYsgn,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Coach Owner Tapestry Sales Top Estimates; Virus Impacts Forecast,positive,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Twitter, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",positive,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. You'll probably need to take on more risk.,moderately negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. RSA Insurance Hires Towergate's Egan as Chief Financial Officer,neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Intel's big bet will impact the company years from now.,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Sentiment Speaks: The Death Of Hedge Funds At A Time We Will Need Them Most. Read more and get updates on any stock… https://t.co/Qf7458d3PG,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesco shares jump 6% after Christmas sales beat expectations,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. An EU document seen by Reuters shows tech firms could soon face fines of up to 6% of annual turnover if they fail to police ""manipulative behavior.""",moderately negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative,
