instruction,response,label
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The goal is to secure the company 's profitability and competitiveness .,neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Apple's first foray into live sports starts on Friday, when the company will broadcast two Major League Baseball games on Apple TV+.",mildly positive,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Semiconductors stocks fell further with the broader market selloff Tuesday, and have been skating dangerously close to bear-market territory this week as U.S. chip makers are set to begin reporting holiday-season earnings.",moderately negative,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Anno record per il gruppo Iberchem, che perfeziona due acquisizioni nel segmento aromi e registra una crescita delle entrate pari al 19%",neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Costco (COST) has been one of the stocks most watched by Zacks.com users lately. So, it is worth exploring what lies ahead for the stock.",neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The electric vehicle specialist's growth has outpaced that of the world's largest company in recent years.,moderately positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. `` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Xylem Reports Fourth Quarter and Full-year 2019 Earnings,neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The consumer tech tastemaker reports quarterly results after Thursday's market close. A lot happened in those three months.,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. ATSG Launches New Website https://t.co/Jnonz0ecWt https://t.co/dAi0UQ2ZEY,neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Americans' outlook on the economy faltered significantly last month as the coronavirus crisis began to take hold in… https://t.co/dRbKISId8O,negative,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. #Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Nokia is Preparing to Come Roaring Back in the New Decade,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Novo Nordisk : Disclosure of transaction data #NovoNordisk #Stock #MarketScreener https://t.co/oyT5Qb1elj https://t.co/knhuhL46gH,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. ` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .",positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Royal Mail gets mixed bag from Ofcom postal regulation report,neutral,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Aurora Cannabis’s stock in decline; CEO is out, cost cuts announced",negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $YHOO making new HOD,positive,
