instruction,response,label,__index_level_0__
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,negative,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The carrier said its Area travel agency is to sell most of its outlets to sister chain Suomen Matkatoimisto (SMT)and use its remaining bricks-and-mortar presence to primarily target business customers going forward .,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. STUK today is a full service house expert in radiation and nuclear safety issues .,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. `` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,neutral,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Whether in a bull market, bear market, or something in-between, make these seven high-quality dividend stocks long-term portfolio holdings. The post 7 A-Rated Dividend Stocks to Buy Forever appeared first on InvestorPlace.",moderately positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Waymo, the self-driving unit of Alphabet, has scored a permit with the California Public Utilities Commission that allows it to charge riders for ride-hailing trips in its autonomous vehicles in San Francisco. A human safety operator must be present, though, per the permit's stipulations.",neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. How this company makes meat alternatives out of air,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. For most of 2021, investor focus was on growth stocks and highly speculative stocks. Things have changed significantly in 2022, with portfolios going overweight on defensive stocks.",mildly positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Goldman expands company research as other retrench - Bloomberg,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The inventor was issued U.S. Patent No. .,neutral,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Texas Instruments Incorporated (NASDAQ:TXN ) Bernstein 38th Annual Strategic Decisions Conference June 2, 2022 9:00 AM ET Company Participants Rich Templeton - Chairman, President and Chief Executive Officer Conference Call Participants Stacy Rasgon - Bernstein Research Stacy Rasgon Good morning everyone. Thank you, for coming today.",neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Dislocation In Credit Spreads Poses Risk For Market (Podcast),negative,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Apple is facing regulatory headwinds that may threaten its App Store revenue. However, the Cupertino, California-based company still has some legal arguments that could help it to delay the implementation of one of the most far-reaching provisions in the European Commission's Digital Markets Act (DMA).",mildly negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $IBIO  up 10% in premarket ready for lift off,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $RNN staying above the open a very good sign!!!,positive,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. L&G completes UK's largest medically underwritten bulk pension risk deal,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Indonesia has launched an anti-trust investigation into Google over the tech firm's insistence that its payment system be used for purchases from its app store, authorities said Thursday, accusing it of unfair business practices.",moderately negative,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. CORRECT: Tapestry Q2 adj. EPS $1.10; FactSet consensus 99 cents,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Can LVMH give Tiffany's diamonds back their old luster? https://t.co/K0Dg86WkbK via @bopinion,neutral,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. FIFA World Cup tournament continues in Qatar as the group stage is not completed yet. Some teams already know they did not qualify for the next round, others still fight, and surprises exist.",mildly positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $vxx starting to creep up while $spy sits near hod ...,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The world's largest oil producers are hammering out the terms of an unprecedented deal to mitigate the devastating… https://t.co/EvGJKB2l9a,neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. 20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Financial 15 Split declares CAD 0.1257 dividend,neutral,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. If needed , she provides also further information on ferry connections and hotels .",neutral,,
"What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. MEC Resources : Takeovers Panel makes no interim order, meeting to proceed #MECResources #Stock #MarketScreener… https://t.co/4xZZdesCFj",neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Verizon and AT&T accused of hurting rivals,negative,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The objective is that trading in the shares will commence on May 2 , 2007 .",neutral,,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. US dollar wipes out sales gains for SABMiller,negative,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The Nasdaq 100 index is now down roughly 15% for the year as investors continue to run away from technology ahead of Fed tightening, but New Street Advisors' Delano Saporu says he still likes big tech. Saporu makes a bullish call on Amazon Amazon.com Inc (NASDAQ: AMZN) that has tanked 25% in two months is […] La notizia Investor: this big-cap tech stock down 25% is my top pick era stato segnalata su Invezz.",mildly positive,,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .",positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Take-Two Interactive Software, Inc's (NASDAQ:TTWO) intention to acquire FarmVille developer Zynga Inc (NASDAQ:ZNGA) is likely to “help smooth earnings variability while offering compelling synergy opportunities,” according to BMO Capital Markets. The Take-Two Interactive Software Analyst: Gerrick Johnson upgraded the rating for Take-Two Interactive Software from Market Perform to Outperform, while keeping the price target unchanged at $180.",moderately positive,,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Amazon.com, Inc. (NASDAQ: AMZN) shares traded higher by 5% on Thursday after the company announced a 20-for-1 stock split and a new share buyback program. What Happened?",strong positive,,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. FT North American Innovative Lawyers Awards 2019 — winners announced https://t.co/e9jlQS73PS,neutral,,
