instruction,response,label
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Netflix's (NFLX) first-quarter 2022 results are expected to reflect continued demand for media content and strength in original content offering amid intense competition.,moderately positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. The investment will be worth approximately EUR 100mn .,neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Applying for summer work is seen as laborious and stressful .,negative,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. $GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. `` These patronage refunds reward members that use the fee-based services that make a positive contribution to CenCorp 's operating results , '' said Bill Walby , CenCorp CEO .",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Trading in China ETFs Soars as Trump Upends Tariff Optimism,neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. The newly-unveiled Digital Markets Act (DMA) in the European Union (EU) is being blasted by big technology companies like Facebook, Google and Amazon for being more aggressive than originally anticipated, Financial Times reported on Friday (March 25). Europe's antitrust chief Margrethe Vestager won backing from EU members and lawmakers for the legislation, which requires gatekeeper […]",moderately negative,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. BAWAG - Is to issue a benchmark , covered deal .",neutral,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,negative,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. These tech superstars offer compelling reasons to buy and hold for the long haul.,strong positive,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",neutral,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. Canadian National Technology Guru Departing,neutral,
"What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Billionaire investor Warren Buffett was a buyer of stocks to the tune of $9 billion last quarter, per a new regulatory filing from Berkshire Hathaway Inc (NYSE: BRKA).",moderately positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. United States District Court Sides Again With Park Assist on Motion of Patent Infringement Case,neutral,
"What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. CompaniesTravis Perkins lifts dividend, earnings rise 15%",positive,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. Greene King's third quarter sales boosted by festive season,positive,
What is the sentiment of this tweet? Please choose an answer from {negative/neutral/positive}. The Dow has rallied 6% today as investors react to early signs that lockdowns in the U.S. and Europe may be helping… https://t.co/W7UUwREpdJ,positive,
What is the sentiment of this news? Please choose an answer from {strong negative/moderately negative/mildly negative/neutral/mildly positive/moderately positive/strong positive}. Sony acquired Bungie games for $3.6 billion recently. What does the acquisition mean for Microsoft's gaming ambitions?,moderately negative,
What is the sentiment of this news? Please choose an answer from {negative/neutral/positive}. 15 September 2010 - Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .,neutral,
