instruction,response,label,__index_level_0__
What is an ischemic stroke and how is it defined?,"An ischemic stroke is a type of stroke that occurs when there is a blockage in a blood vessel that supplies blood to the brain, resulting in damage to the brain tissue. It is defined as an infarction of the central nervous system with resultant neurologic deficit that persists beyond 24 hours or is interrupted by death within 24 hours.",,
"What lysosomal storage disease is identified by the presence of an ""onion skin"" lysosome?","Tay-Sachs disease is the lysosomal storage disease that is characterized by an ""onion skin"" lysosome. In Tay-Sachs disease, a deficiency of the enzyme hexosaminidase A leads to the accumulation of a fatty substance called GM2 ganglioside in the body's cells and tissues, including lysosomes. The buildup of GM2 ganglioside can cause lysosomes to take on a distinctive appearance under the microscope, with concentric layers that resemble an onion skin. This is known as an ""onion skin"" lysosome. The presence of onion skin lysosomes can help to confirm a diagnosis of Tay-Sachs disease.",,
What is the appropriate next step when a neonate does not show chest rise during administration of PPV (positive pressure ventilation)?,Intubation.,,
"In a young woman with low urine Cl-, what is the likely cause of metabolic alkalosis?","The likely cause of metabolic alkalosis in a young woman with low urine Cl- is self-induced vomiting. Metabolic alkalosis is a condition characterized by an increase in blood pH and bicarbonate levels, and can be caused by a variety of factors, including vomiting. Vomiting can cause a loss of hydrochloric acid from the stomach, leading to an increase in blood pH and bicarbonate levels. Low urine Cl- is also a common finding in patients with metabolic alkalosis caused by vomiting. Treatment options for metabolic alkalosis depend on the underlying cause and severity of the condition, and may include medications to correct electrolyte imbalances or addressing the underlying cause, such as treating an eating disorder in the case of self-induced vomiting.",,
What is the hormone that stimulates milk production in the breast and induces the synthesis of milk components such as casein and lactose?,"The hormone that stimulates milk production in the breast and induces the synthesis of milk components such as casein and lactose is called prolactin. Prolactin is produced by the pituitary gland in response to the suckling of a baby at the breast. It acts on the mammary glands to promote the growth and development of milk-producing cells, and to stimulate the secretion of milk into the ducts. Prolactin levels are highest during breastfeeding, and gradually decrease as the baby feeds less frequently or is weaned. In some cases, high levels of prolactin can lead to milk production in women who are not breastfeeding, a condition known as galactorrhea.",,
During which periods of life are anovulatory cycles more likely to occur?,Anovulatory cycles are more likely to occur during menarche and menopause.,,
Are hallucinations involving a living relative during a period of bereavement considered a normal experience?,"No, hallucinations involving a living relative during a period of bereavement are not considered a normal experience.",,
What is myoclonus and what are some examples of metabolic abnormalities that can cause this movement disorder?,Myoclonus is a type of movement disorder. It is commonly observed in metabolic abnormalities such as renal and liver failure.,,
What is the recommended initial therapy for hypertension?,"The recommended initial therapy for hypertension is lifestyle modifications, including weight loss, sodium restriction, exercise, dietary changes, and smoking cessation.",,
In which part of the cell does ketogenesis take place?,Ketogenesis occurs in the mitochondria of the cell.,,
"What is the order of the following receptors for affinity to norepinephrine, from highest to lowest: β1, α1, α2?","The order of the following receptors for affinity to norepinephrine, from highest to lowest is α1 > α2 > β1.",,
"What could be the possible diagnosis for an elderly woman who has been experiencing neck, shoulder, and hip pain, morning stiffness, malaise, and weight loss for three months, and has an elevated ESR and normal creatine kinase levels?",The likely diagnosis for the woman's condition is polymyalgia rheumatica.,,
What is the recommended treatment for Parvovirus B19 in immunocompetent patients?,The recommended treatment for Parvovirus B19 in immunocompetent patients is supportive care.,,
Where does delirium tremens classically occur?,Delirium tremens classically occurs in a hospital setting.,,
"Among the oxygen-derived free radicals, which one is considered the most damaging?",The hydroxyl radical (OH-) is considered the most damaging among the oxygen-derived free radicals.,,
"What are the symptoms of Primary carnitine deficiency, and what can provoke them?","Primary carnitine deficiency is a rare genetic disorder that affects the body's ability to transport long-chain fatty acids into the mitochondria for energy production. It is characterized by muscle weakness and hypotonia, which can be provoked by prolonged exercise, especially if fasting. Other symptoms may include fatigue, heart problems, and myoglobinuria, which is the presence of myoglobin in the urine due to muscle breakdown. Treatment for primary carnitine deficiency typically involves lifelong supplementation with L-carnitine, which can help to improve energy metabolism and prevent muscle damage.",,
What are the common treatments for congenital diaphragmatic hernia after birth?,"The common treatments for congenital diaphragmatic hernia after birth include intubation and mechanical ventilation, gastric decompression, surgical repair (usually after 3-4 days), and surfactant administration for premature infants.",,
Where do neurons of the ventral lateral nucleus (thalamus) synapse with upper motor neurons (UMNs)?,"Neurons of the ventral lateral nucleus (thalamus) synapse with UMNs in the motor cortex, specifically the precentral gyrus.",,
"Which muscles are inhibited by some Ia afferent fibers through interneurons during the muscle stretch reflex, causing muscle relaxation?","During the muscle stretch reflex, some Ia afferent fibers inhibit antagonist muscles through interneurons causing muscle relaxation.",,
What are shin splints and what symptom do they commonly cause?,"Shin splints are a common overuse injury that affects the lower leg. They typically present with diffuse, anterior shin pain, which is pain along the front of the shin bone. This pain can be dull or sharp and may worsen with activity. Shin splints are often caused by repetitive stress on the shin bone and surrounding tissues, such as from running, jumping, or dancing. Treatment for shin splints may include rest, ice, compression, and elevation (RICE), as well as stretching and strengthening exercises, and in some cases, orthotics or physical therapy.",,
What is the definition of primary amenorrhea?,"Primary amenorrhea is a condition in which a person who has reached the age of 15 has not yet experienced menarche, which is the onset of menstrual periods. This can be due to a variety of factors, including hormonal imbalances, genetic disorders, structural abnormalities of the reproductive system, or certain medications or medical treatments. Primary amenorrhea can be a sign of an underlying health issue, so it is important to consult with a healthcare provider to determine the cause and appropriate treatment options.",,
In which cellular compartments does the urea cycle take place?,The urea cycle occurs in both the cytoplasm and mitochondria.,,
What is the typical underlying cause of normocytic anemia with a corrected reticulocyte count greater than 3%?,"The typical underlying cause of normocytic anemia with a corrected reticulocyte count greater than 3% is peripheral destruction, also known as hemolysis. Normocytic anemia is a type of anemia characterized by a normal-sized red blood cell, and a corrected reticulocyte count greater than 3% indicates that the bone marrow is responding appropriately to the anemia by producing new red blood cells. Hemolysis occurs when red blood cells are destroyed prematurely, either due to intrinsic factors such as genetic disorders or extrinsic factors such as infections, drugs, or autoimmune disorders. Other causes of normocytic anemia with a corrected reticulocyte count greater than 3% include acute blood loss, renal disease, and endocrine disorders. However, peripheral destruction or hemolysis is the most common underlying cause of this type of anemia.",,
What is the name of the enzyme responsible for converting arachidonic acids into leukotrienes?,Arachidonic acids are converted to leukotrienes via the enzyme 5-lipoxygenase.,,
What are the two classes of antibiotics that can prolong the QT interval?,Macrolides and fluoroquinolones are the classes of antibiotics that can prolong the QT interval.,,
What is the effect of increased NADH/NAD+ (e.g. due to ethanol) on the conversion of oxaloacetate to malate and the process of gluconeogenesis?,"Increased NADH/NAD+ (e.g. due to ethanol) causes increased conversion of oxaloacetate to malate, thus preventing gluconeogenesis.",,
What is the treatment for Gardnerella vaginalis?,Gardnerella vaginalis is treated with metronidazole.,,
"In a steady state, how does the cardiac output of the left heart compare to the right heart?",The cardiac output of the left heart is equal to the cardiac output of the right heart in a steady state.,,
